1765	0.00027805
1766	0.00027811
1767	0.00027822
1768	0.00027834
1769	0.00027847
1770	0.0002786
1771	0.00027873
1772	0.00027887
1773	0.00027901
1774	0.00027915
1775	0.0002793
1776	0.00027946
1777	0.00027962
1778	0.00027978
1779	0.00027994
1780	0.0002801
1781	0.00028024
1782	0.00028038
1783	0.00028052
1784	0.00028066
1785	0.0002808
1786	0.00028096
1787	0.00028112
1788	0.00028128
1789	0.00028144
1790	0.0002816
1791	0.00028175
1792	0.00028189
1793	0.00028203
1794	0.00028217
1795	0.0002823
1796	0.00028243
1797	0.00028255
1798	0.00028267
1799	0.00028279
1800	0.0002829
1801	0.00028301
1802	0.00028311
1803	0.00028321
1804	0.00028331
1805	0.0002834
1806	0.00028349
1807	0.00028358
1808	0.00028366
1809	0.00028374
1810	0.0002838
1811	0.00028385
1812	0.00028389
1813	0.00028393
1814	0.00028396
1815	0.000284
1816	0.00028404
1817	0.00028409
1818	0.00028413
1819	0.00028417
1820	0.0002842
1821	0.00028422
1822	0.00028424
1823	0.00028426
1824	0.00028428
1825	0.0002843
1826	0.00028432
1827	0.00028434
1828	0.00028436
1829	0.00028438
1830	0.0002844
1831	0.00028439
1832	0.00028428
1833	0.00028413
1834	0.00028398
1835	0.00028383
1836	0.00028368
1837	0.00028353
1838	0.00028343
1839	0.0002834
1840	0.0002834
1841	0.00028343
1842	0.0002835
1843	0.0002836
1844	0.00028373
1845	0.0002839
1846	0.00028408
1847	0.00028423
1848	0.0002844
1849	0.00028458
1850	0.00028473
1851	0.00028488
1852	0.000285
1853	0.00028513
1854	0.00028528
1855	0.00028543
1856	0.00028558
1857	0.00028573
1858	0.0002859
1859	0.00028608
1860	0.00028623
1861	0.00028638
1862	0.0002865
1863	0.00028663
1864	0.00028678
1865	0.0002869
1866	0.000287
1867	0.0002871
1868	0.00028723
1869	0.00028738
1870	0.00028753
1871	0.0002877
1872	0.0002879
1873	0.00028813
1874	0.0002884
1875	0.0002887
1876	0.00028903
1877	0.0002894
1878	0.0002898
1879	0.00029023
1880	0.0002907
1881	0.0002912
1882	0.00029168
1883	0.00029213
1884	0.00029258
1885	0.00029298
1886	0.0002933
1887	0.00029358
1888	0.0002938
1889	0.000294
1890	0.00029418
1891	0.00029433
1892	0.00029448
1893	0.0002946
1894	0.0002947
1895	0.0002948
1896	0.0002949
1897	0.00029503
